                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83344,                  2.753,                 1.2963,                0.82448,                0.74241,                0.86517,                0.76763,                0.47838,                0.96467,                0.98178,             8.2899e-05,             8.2899e-05,             8.2899e-05
                      2,                0.77779,                 1.3546,                 1.2005,                0.86559,                0.80412,                 0.9121,                0.80497,                0.52995,                0.79808,                  1.012,             0.00016349,             0.00016349,             0.00016349
                      3,                0.78776,                 1.1206,                 1.2017,                0.86995,                0.86843,                0.93214,                0.81384,                0.55569,                0.70461,                  1.032,             0.00024133,             0.00024133,             0.00024133
                      4,                0.78553,                 1.0094,                 1.1905,                0.87368,                0.88477,                0.93122,                0.80891,                0.54934,                0.69954,                 1.0425,             0.00023763,             0.00023763,             0.00023763
                      5,                0.76577,                0.96253,                 1.1832,                 0.9156,                0.88948,                0.94451,                0.80221,                0.60327,                0.62049,                 1.0952,              0.0002335,              0.0002335,              0.0002335
                      6,                0.75018,                0.86376,                 1.1653,                 0.9228,                0.90504,                0.95276,                0.83304,                0.55558,                0.59442,                 1.0456,             0.00022938,             0.00022938,             0.00022938
                      7,                0.71312,                0.78907,                 1.1469,                0.94587,                0.92235,                0.96636,                0.86204,                  0.483,                0.45882,                0.99156,             0.00022525,             0.00022525,             0.00022525
                      8,                0.69475,                0.73274,                 1.1347,                0.93359,                0.93285,                0.96144,                0.85472,                0.49342,                 0.4791,                0.99554,             0.00022112,             0.00022112,             0.00022112
                      9,                0.69712,                0.70047,                 1.1377,                0.94254,                0.92877,                0.96385,                0.86077,                0.50279,                0.50646,                0.98813,               0.000217,               0.000217,               0.000217
                     10,                0.66737,                0.66132,                 1.1179,                0.95759,                0.93684,                0.97135,                 0.8753,                0.45713,                0.40508,                0.96634,             0.00021288,             0.00021288,             0.00021288
